question,direction
나는 새로운 사람들을 만나는 것을 좋아한다,E
나는 혼자 있는 시간을 더 선호한다,I
나는 구체적인 사실과 세부사항에 집중한다,S
나는 가능성과 미래에 대해 생각하는 것을 좋아한다,N
나는 논리적이고 객관적으로 결정을 내린다,T
나는 감정과 가치를 고려하여 결정을 내린다,F
나는 계획을 세우고 그대로 실행하는 것을 좋아한다,J
나는 즉흥적이고 유연한 생활을 선호한다,P
나는 많은 사람들과 함께 있을 때 에너지를 얻는다,E
나는 조용한 환경에서 혼자 일하는 것을 선호한다,I
나는 실제 경험을 통해 배우는 것을 좋아한다,S
나는 새로운 아이디어와 개념을 탐구하는 것을 좋아한다,N
나는 공정하고 일관된 규칙을 중요하게 생각한다,T
나는 사람들의 감정과 조화를 중요하게 생각한다,F
나는 마감일을 지키는 것을 중요하게 생각한다,J
나는 마감일을 유연하게 조정하는 것을 선호한다,P
나는 대화를 시작하는 것을 좋아한다,E
나는 다른 사람이 대화를 시작하기를 기다린다,I
나는 현재 상황에 집중한다,S
나는 미래의 가능성에 대해 생각한다,N
나는 문제를 분석적으로 해결한다,T
나는 직감에 따라 결정을 내린다,F
나는 체계적이고 조직적인 것을 좋아한다,J
나는 자유롭고 융통성 있는 것을 선호한다,P
나는 외부 활동에서 에너지를 얻는다,E
나는 내부 활동에서 에너지를 얻는다,I
나는 구체적이고 실용적인 정보를 선호한다,S
나는 추상적이고 이론적인 정보를 선호한다,N
나는 객관적이고 논리적인 판단을 한다,T
나는 주관적이고 개인적인 판단을 한다,F
나는 결정을 빨리 내리는 것을 좋아한다,J
나는 결정을 천천히 내리는 것을 선호한다,P