회차별 추첨결과,,,,,,,,,,,,,,,,,,,
년도,회차,추첨일,1등,,2등,,3등,,4등,,5등,,당첨번호,,,,,,
,,,당첨자수,당첨금액,당첨자수,당첨금액,당첨자수,당첨금액,당첨자수,당첨금액,당첨자수,당첨금액,1,2,3,4,5,6,보너스
2025,1178,2025.06.28,12,"2,391,608,407원",89,"53,744,010원","3,061","1,562,633원","157,044","50,000원","2,653,841","5,000원",5,6,11,27,43,44,17
,1177,2025.06.21,6,"4,576,672,000원",75,"61,022,294원","3,111","1,471,126원","157,438","50,000원","2,644,128","5,000원",3,7,15,16,19,43,21
,1176,2025.06.14,13,"2,052,166,154원",89,"49,959,102원","3,533","1,258,523원","171,545","50,000원","2,746,919","5,000원",7,9,11,21,30,35,29
,1175,2025.06.07,20,"1,384,026,094원",92,"50,145,873원","3,178","1,451,675원","164,364","50,000원","2,723,718","5,000원",3,4,6,8,32,42,31
,1174,2025.05.31,15,"1,910,619,425원",85,"56,194,689원","3,196","1,494,540원","158,944","50,000원","2,670,129","5,000원",8,11,14,17,36,39,22
,1173,2025.05.24,24,"1,179,946,063원",94,"50,210,471원","3,139","1,503,595원","163,678","50,000원","2,689,832","5,000원",1,5,18,20,30,35,3
,1172,2025.05.17,13,"2,203,004,452원",98,"48,705,881원","3,059","1,560,372원","152,897","50,000원","2,590,472","5,000원",7,9,24,40,42,44,45
,1171,2025.05.10,21,"1,128,345,286원",148,"26,683,842원","5,317","742,752원","211,503","50,000원","3,094,806","5,000원",3,6,7,11,12,17,19
,1170,2025.05.03,20,"1,386,550,969원",103,"44,872,200원","5,668","815,427원","163,866","50,000원","2,637,401","5,000원",3,13,28,34,38,42,25
,1169,2025.04.26,10,"2,852,735,813원",112,"42,451,426원","3,244","1,465,648원","160,483","50,000원","2,668,194","5,000원",5,12,24,26,39,42,20
,1168,2025.04.19,13,"2,136,635,914원",74,"62,559,160원","3,514","1,317,410원","166,163","50,000원","2,712,545","5,000원",9,21,24,30,33,37,29
,1167,2025.04.12,10,"2,884,087,913원",69,"69,663,960원","2,942","1,633,859원","157,094","50,000원","2,614,372","5,000원",8,23,31,35,39,40,24
,1166,2025.04.05,14,"2,072,319,938원",80,"60,442,665원","2,803","1,725,085원","147,837","50,000원","2,456,735","5,000원",14,23,25,27,29,42,16
,1165,2025.03.29,13,"2,192,485,270원",91,"52,202,031원","3,173","1,497,128원","158,014","50,000원","2,630,455","5,000원",6,7,27,29,38,45,17
,1164,2025.03.22,13,"2,193,092,164원",76,"62,522,365원","3,470","1,369,366원","170,045","50,000원","2,807,095","5,000원",17,18,23,25,38,39,22
,1163,2025.03.15,15,"1,936,891,150원",75,"64,563,039원","3,386","1,430,074원","168,204","50,000원","2,795,027","5,000원",2,13,15,16,33,43,4
,1162,2025.03.08,36,"823,931,021원",78,"63,379,310원","4,752","1,040,317원","160,953","50,000원","2,538,565","5,000원",20,21,22,25,28,29,6
,1161,2025.03.01,16,"1,792,657,969원",117,"40,858,302원","4,107","1,163,970원","181,457","50,000원","2,859,815","5,000원",2,12,20,24,34,42,37
,1160,2025.02.22,12,"2,509,359,875원",84,"59,746,664원","3,176","1,580,202원","160,611","50,000원","2,681,692","5,000원",7,13,18,36,39,45,19
,1159,2025.02.15,23,"1,284,854,250원",110,"44,775,224원","3,742","1,316,215원","177,373","50,000원","2,826,061","5,000원",3,9,27,28,38,39,7
,1158,2025.02.08,21,"1,394,358,197원",86,"56,747,136원","3,032","1,609,583원","155,209","50,000원","2,610,120","5,000원",21,25,27,32,37,38,20
,1157,2025.02.01,12,"2,257,842,157원",141,"32,026,130원","4,549","992,677원","201,847","50,000원","3,100,779","5,000원",5,7,12,20,25,26,28
,1156,2025.01.25,21,"1,505,207,090원",73,"72,167,464원","3,494","1,507,792원","162,883","50,000원","2,706,409","5,000원",30,31,34,39,41,45,7
,1155,2025.01.18,7,"4,066,375,179원",78,"60,821,851원","3,171","1,496,091원","160,366","50,000원","2,654,046","5,000원",10,16,19,27,37,38,13
,1154,2025.01.11,15,"1,854,965,425원",62,"74,796,993원","3,190","1,453,735원","154,785","50,000원","2,559,114","5,000원",4,8,22,26,32,38,27
,1153,2025.01.04,15,"2,027,312,925원",79,"64,155,473원","3,506","1,445,603원","167,692","50,000원","2,848,165","5,000원",1,9,10,13,35,44,5
2024,1152,2024.12.28,35,"874,349,668원",79,"64,561,685원","3,354","1,520,684원","146,890","50,000원","2,440,804","5,000원",30,31,32,35,36,37,5
,1151,2024.12.21,17,"1,620,503,030원",102,"45,013,974원","3,351","1,370,166원","163,055","50,000원","2,635,014","5,000원",2,3,9,15,27,29,8
,1150,2024.12.14,17,"1,570,620,309원",226,"19,690,668원","3,413","1,303,865원","166,846","50,000원","2,626,598","5,000원",8,9,18,35,39,45,25
,1149,2024.12.07,17,"1,613,380,765원",74,"61,773,588원","2,924","1,563,354원","145,209","50,000원","2,448,589","5,000원",8,15,19,21,32,36,38
,1148,2024.11.30,13,"2,073,332,308원",97,"46,311,547원","3,082","1,457,567원","154,963","50,000원","2,581,682","5,000원",3,6,13,15,16,22,32
,1147,2024.11.23,8,"3,323,422,079원",83,"53,388,307원","3,588","1,235,014원","173,036","50,000원","2,750,379","5,000원",7,11,24,26,27,37,32
,1146,2024.11.16,11,"2,526,476,353원",72,"64,331,574원","3,030","1,528,672원","158,146","50,000원","2,677,017","5,000원",6,11,17,19,40,43,28
,1145,2024.11.09,9,"3,051,630,084원",63,"72,657,860원","3,312","1,382,079원","164,055","50,000원","2,647,054","5,000원",2,11,31,33,37,44,32
,1144,2024.11.02,18,"1,489,347,375원",94,"47,532,364원","3,626","1,232,224원","172,239","50,000원","2,766,594","5,000원",3,4,12,15,26,34,6
,1143,2024.10.26,11,"2,545,657,023원",90,"51,855,977원","3,154","1,479,721원","156,400","50,000원","2,612,029","5,000원",10,16,17,27,28,36,6
,1142,2024.10.19,9,"3,117,517,709원",67,"69,795,173원","2,841","1,645,997원","146,936","50,000원","2,474,033","5,000원",2,8,28,30,37,41,22
,1141,2024.10.12,11,"2,457,758,285원",100,"45,058,902원","3,371","1,336,663원","165,233","50,000원","2,718,563","5,000원",7,11,12,21,26,35,20
,1140,2024.10.05,12,"2,279,823,938원",83,"54,935,517원","3,345","1,363,124원","158,343","50,000원","2,644,989","5,000원",7,10,22,29,31,38,15
,1139,2024.09.28,13,"2,167,490,972원",75,"62,616,406원","3,240","1,449,454원","163,236","50,000원","2,645,260","5,000원",5,12,15,30,37,40,18
,1138,2024.09.21,14,"1,902,656,786원",50,"88,790,650원","2,865","1,549,576원","145,690","50,000원","2,404,999","5,000원",14,16,19,20,29,34,35
,1137,2024.09.14,14,"2,023,447,688원",111,"42,534,937원","3,323","1,420,818원","163,296","50,000원","2,737,836","5,000원",4,9,12,15,33,45,26
,1136,2024.09.07,12,"2,314,468,157원",75,"61,719,151원","2,906","1,592,890원","144,451","50,000원","2,452,383","5,000원",21,33,35,38,42,44,1
,1135,2024.08.31,9,"2,953,726,125원",91,"48,687,794원","3,417","1,296,632원","163,808","50,000원","2,654,691","5,000원",1,6,13,19,21,33,4
,1134,2024.08.24,14,"1,755,689,384원",97,"42,233,078원","3,961","1,034,236원","180,353","50,000원","2,807,905","5,000원",3,7,9,13,19,24,23
,1133,2024.08.17,13,"2,105,079,491원",73,"62,479,529원","2,737","1,666,426원","143,047","50,000원","2,393,005","5,000원",13,14,20,28,29,34,23
,1132,2024.08.10,11,"2,404,951,807원",73,"60,398,334원","3,086","1,428,736원","148,359","50,000원","2,463,697","5,000원",6,7,19,28,34,41,5
,1131,2024.08.03,17,"1,542,367,898원",56,"78,036,471원","2,861","1,527,453원","144,842","50,000원","2,471,592","5,000원",1,2,6,14,27,38,33
,1130,2024.07.27,12,"2,263,301,219원",69,"65,602,934원","2,900","1,560,898원","137,397","50,000원","2,334,975","5,000원",15,19,21,25,27,28,40
,1129,2024.07.20,11,"2,369,567,660원",107,"40,600,069원","3,142","1,382,625원","154,322","50,000원","2,542,398","5,000원",5,10,11,17,28,34,22
,1128,2024.07.13,63,"419,925,560원",77,"57,262,577원","2,987","1,476,137원","153,592","50,000원","2,545,750","5,000원",1,5,8,16,28,33,45
,1127,2024.07.06,12,"2,267,891,969원",84,"53,997,428원","3,007","1,508,409원","145,646","50,000원","2,443,423","5,000원",10,15,24,30,31,37,32
,1126,2024.06.29,11,"2,386,382,421원",91,"48,077,302원","3,114","1,404,957원","157,300","50,000원","2,626,764","5,000원",4,5,9,11,37,40,7
,1125,2024.06.22,12,"2,195,289,188원",78,"56,289,467원","3,066","1,432,022원","147,313","50,000원","2,442,674","5,000원",6,14,25,33,40,44,30
,1124,2024.06.15,10,"2,623,327,913원",87,"50,255,324원","3,123","1,400,005원","158,630","50,000원","2,619,643","5,000원",3,8,17,30,33,34,28
,1123,2024.06.08,16,"1,731,310,711원",77,"59,958,813원","2,945","1,567,684원","147,087","50,000원","2,456,500","5,000원",13,19,21,24,34,35,26
,1122,2024.06.01,11,"2,556,266,046원",99,"47,338,261원","2,932","1,598,393원","151,473","50,000원","2,540,890","5,000원",3,6,21,30,34,35,22
,1121,2024.05.25,11,"2,524,513,262원",76,"60,898,347원","2,956","1,565,723원","148,984","50,000원","2,494,773","5,000원",6,24,31,32,38,44,8
,1120,2024.05.18,11,"2,522,163,375원",91,"50,812,816원","3,049","1,516,552원","154,910","50,000원","2,532,990","5,000원",2,19,26,31,38,41,34
,1119,2024.05.11,19,"1,396,028,764원",97,"45,574,823원","3,108","1,422,381원","155,000","50,000원","2,560,859","5,000원",1,9,12,13,20,45,3
,1118,2024.05.04,19,"1,477,445,132원",72,"64,980,226원","3,518","1,329,897원","145,194","50,000원","2,435,050","5,000원",11,13,14,15,16,45,3
,1117,2024.04.27,9,"3,028,385,542원",94,"48,325,302원","3,161","1,437,071원","155,379","50,000원","2,567,618","5,000원",3,4,9,30,33,36,7
,1116,2024.04.20,10,"2,695,000,238원",114,"39,400,589원","2,896","1,550,991원","145,548","50,000원","2,444,108","5,000원",15,16,17,25,30,31,32
,1115,2024.04.13,12,"2,257,278,282원",60,"75,242,610원","3,103","1,454,901원","158,614","50,000원","2,584,491","5,000원",7,12,23,32,34,36,8
,1114,2024.04.06,17,"1,583,813,824원",88,"50,994,006원","3,221","1,393,193원","160,537","50,000원","2,574,463","5,000원",10,16,19,32,33,38,3
,1113,2024.03.30,14,"1,987,426,822원",57,"81,356,654원","2,936","1,579,472원","146,997","50,000원","2,444,535","5,000원",11,13,20,21,32,44,8
,1112,2024.03.23,10,"2,804,455,650원",59,"79,221,912원","3,077","1,519,043원","148,163","50,000원","2,461,430","5,000원",16,20,26,36,42,44,24
,1111,2024.03.16,16,"1,714,662,540원",97,"47,138,490원","5,096","897,260원","171,363","50,000원","2,608,760","5,000원",3,13,30,33,43,45,4
,1110,2024.03.09,16,"1,647,392,719원",118,"37,229,214원","3,654","1,202,258원","173,234","50,000원","2,747,163","5,000원",3,7,11,20,22,41,24
,1109,2024.03.02,17,"1,584,352,875원",84,"53,440,474원","3,347","1,341,202원","180,255","50,000원","2,734,683","5,000원",10,12,13,19,33,40,2
,1108,2024.02.24,14,"1,957,990,849원",96,"47,590,056원","3,227","1,415,757원","157,579","50,000원","2,572,268","5,000원",7,19,26,37,39,44,27
,1107,2024.02.17,14,"2,025,625,233원",82,"57,639,743원","3,357","1,407,942원","162,265","50,000원","2,581,512","5,000원",6,14,30,31,40,41,29
,1106,2024.02.10,11,"2,790,462,819원",67,"76,355,948원","3,374","1,516,257원","168,792","50,000원","2,788,452","5,000원",1,3,4,29,42,45,36
,1105,2024.02.03,15,"1,834,853,800원",83,"55,266,681원","2,898","1,582,863원","148,700","50,000원","2,503,114","5,000원",6,16,34,37,39,40,11
,1104,2024.01.27,15,"1,817,193,100원",76,"59,776,089원","3,000","1,514,328원","148,589","50,000원","2,490,276","5,000원",1,7,21,30,35,38,2
,1103,2024.01.20,17,"1,574,419,633원",76,"58,695,469원","2,909","1,533,468원","144,537","50,000원","2,436,768","5,000원",10,12,29,31,40,44,2
,1102,2024.01.13,20,"1,383,591,413원",63,"73,205,895원","3,042","1,516,099원","147,705","50,000원","2,461,606","5,000원",13,14,22,26,37,38,20
,1101,2024.01.06,13,"2,100,529,500원",75,"60,681,964원","3,363","1,353,300원","159,797","50,000원","2,596,082","5,000원",6,7,13,28,36,42,41
2023,1100,2023.12.30,13,"2,207,575,472원",81,"59,050,373원","2,869","1,667,160원","146,262","50,000원","2,503,154","5,000원",17,26,29,30,31,43,12
,1099,2023.12.23,9,"2,959,934,125원",71,"62,533,820원","2,701","1,643,800원","134,122","50,000원","2,306,011","5,000원",3,20,28,38,40,43,4
,1098,2023.12.16,13,"1,930,461,895원",68,"61,509,816원","2,840","1,472,771원","138,090","50,000원","2,311,866","5,000원",12,16,21,24,41,43,15
,1097,2023.12.09,7,"3,864,293,090원",67,"67,288,686원","2,631","1,713,547원","135,670","50,000원","2,317,263","5,000원",14,33,34,35,37,40,4
,1096,2023.12.02,10,"2,539,391,175원",85,"49,791,984원","2,924","1,447,442원","141,700","50,000원","2,386,598","5,000원",1,12,16,19,23,43,34
,1095,2023.11.25,10,"2,617,825,575원",57,"76,544,608원","2,584","1,688,484원","135,653","50,000원","2,278,659","5,000원",8,14,28,29,34,40,12
,1094,2023.11.18,12,"2,112,854,469원",87,"48,571,368원","2,725","1,550,719원","136,802","50,000원","2,278,728","5,000원",6,7,15,22,26,40,41
,1093,2023.11.11,13,"1,967,040,750원",65,"65,568,025원","2,928","1,455,575원","141,232","50,000원","2,327,509","5,000원",10,17,22,30,35,43,44
,1092,2023.11.04,16,"1,583,289,844원",84,"50,263,170원","3,327","1,269,044원","160,096","50,000원","2,540,721","5,000원",7,18,19,26,33,45,37
,1091,2023.10.28,9,"2,898,470,459원",65,"66,887,780원","2,873","1,513,299원","149,578","50,000원","2,481,449","5,000원",6,20,23,24,28,30,44
,1090,2023.10.21,11,"2,386,494,614원",88,"49,718,638원","2,931","1,492,747원","143,714","50,000원","2,398,962","5,000원",12,19,21,29,40,45,1
,1089,2023.10.14,9,"2,978,522,167원",79,"56,554,219원","2,825","1,581,517원","138,575","50,000원","2,338,390","5,000원",4,18,31,37,42,43,40
,1088,2023.10.07,11,"2,434,697,898원",94,"47,485,243원","2,991","1,492,348원","141,487","50,000원","2,352,280","5,000원",11,21,22,30,39,44,31
,1087,2023.09.30,16,"1,732,253,602원",71,"65,061,169원","2,989","1,545,448원","149,854","50,000원","2,506,601","5,000원",13,14,18,21,34,44,16
,1086,2023.09.23,17,"1,515,913,809원",67,"64,105,808원","3,270","1,313,483원","155,241","50,000원","2,500,478","5,000원",11,16,25,27,35,36,37
,1085,2023.09.16,23,"1,073,277,473원",80,"51,427,879원","3,471","1,185,316원","156,670","50,000원","2,475,529","5,000원",4,7,17,18,38,44,36
,1084,2023.09.09,15,"1,738,764,600원",107,"40,625,342원","3,003","1,447,523원","151,391","50,000원","2,512,924","5,000원",8,12,13,29,33,42,5
,1083,2023.09.02,15,"1,713,084,525원",72,"59,482,102원","3,274","1,308,098원","154,536","50,000원","2,501,816","5,000원",3,7,14,15,22,38,17
,1082,2023.08.26,7,"3,720,489,643원",62,"70,009,214원","2,768","1,568,126원","142,123","50,000원","2,390,544","5,000원",21,26,27,32,34,42,31
,1081,2023.08.19,11,"2,343,892,944원",92,"46,708,012원","2,923","1,470,112원","143,152","50,000원","2,390,493","5,000원",1,9,16,23,24,38,17
,1080,2023.08.12,7,"3,639,444,429원",82,"51,780,714원","2,720","1,561,037원","136,257","50,000원","2,254,999","5,000원",13,16,23,31,36,44,38
,1079,2023.08.05,9,"2,712,329,417원",85,"47,864,637원","3,212","1,266,655원","145,773","50,000원","2,344,700","5,000원",4,8,18,24,37,45,6
,1078,2023.07.29,12,"2,141,604,938원",77,"55,626,103원","2,691","1,591,680원","135,352","50,000원","2,334,106","5,000원",6,10,11,14,36,38,43
,1077,2023.07.22,7,"3,570,901,018원",98,"42,510,727원","3,235","1,287,806원","149,808","50,000원","2,428,987","5,000원",4,8,17,30,40,43,34
,1076,2023.07.15,9,"2,672,689,750원",86,"46,616,682원","3,109","1,289,494원","148,521","50,000원","2,417,204","5,000원",3,7,9,33,36,37,10
,1075,2023.07.08,9,"2,896,337,167원",160,"27,153,161원","2,750","1,579,821원","134,529","50,000원","2,267,024","5,000원",1,23,24,35,44,45,10
,1074,2023.07.01,12,"2,134,763,657원",78,"54,737,530원","2,711","1,574,891원","143,155","50,000원","2,311,622","5,000원",1,6,20,27,28,41,15
,1073,2023.06.24,11,"2,345,227,603원",62,"69,348,129원","2,994","1,436,067원","146,834","50,000원","2,387,538","5,000원",6,18,28,30,32,38,15
,1072,2023.06.17,12,"2,175,006,375원",93,"46,774,331원","2,872","1,514,629원","145,504","50,000원","2,400,605","5,000원",16,18,20,23,32,43,27
,1071,2023.06.10,5,"5,183,979,750원",83,"52,047,990원","2,891","1,494,287원","143,234","50,000원","2,391,950","5,000원",1,2,11,21,30,35,39
,1070,2023.06.03,14,"1,859,116,929원",63,"68,856,183원","2,938","1,476,495원","142,759","50,000원","2,353,987","5,000원",3,6,14,22,30,41,36
,1069,2023.05.27,14,"1,863,217,554원",79,"55,031,743원","3,006","1,446,277원","146,335","50,000원","2,419,527","5,000원",1,10,18,22,28,31,44
,1068,2023.05.20,19,"1,363,929,514원",87,"49,644,944원","3,114","1,386,998원","150,789","50,000원","2,480,427","5,000원",4,7,19,26,33,35,3
,1067,2023.05.13,13,"1,981,114,010원",82,"52,346,509원","3,679","1,166,734원","163,488","50,000원","2,567,588","5,000원",7,10,19,23,28,33,18
,1066,2023.05.06,15,"1,670,947,250원",88,"47,470,093원","3,323","1,257,108원","152,826","50,000원","2,432,046","5,000원",6,11,16,19,21,32,45
,1065,2023.04.29,14,"1,852,593,938원",74,"58,415,125원","3,117","1,386,821원","148,561","50,000원","2,416,212","5,000원",3,18,19,23,32,45,24
,1064,2023.04.22,19,"1,348,168,106원",62,"68,858,049원","3,296","1,295,267원","158,665","50,000원","2,525,390","5,000원",3,6,9,18,22,35,14
,1063,2023.04.15,7,"3,770,311,875원",55,"79,976,313원","2,706","1,625,535원","139,518","50,000원","2,401,618","5,000원",3,6,22,23,24,38,30
,1062,2023.04.08,7,"3,801,933,804원",68,"65,229,257원","2,668","1,662,515원","133,599","50,000원","2,278,058","5,000원",20,31,32,40,41,45,12
,1061,2023.04.01,11,"2,422,768,773원",99,"44,866,089원","3,003","1,479,102원","145,857","50,000원","2,425,576","5,000원",4,24,27,35,37,45,15
,1060,2023.03.25,28,"898,238,907원",96,"43,664,392원","4,593","912,646원","179,475","50,000원","2,566,118","5,000원",3,10,24,33,38,45,36
,1059,2023.03.18,13,"2,033,168,481원",83,"53,074,680원","3,127","1,408,762원","151,941","50,000원","2,516,955","5,000원",7,10,22,25,34,40,27
,1058,2023.03.11,13,"2,058,020,250원",60,"74,317,398원","3,074","1,450,568원","152,446","50,000원","2,545,208","5,000원",11,23,25,30,32,40,42
,1057,2023.03.04,17,"1,616,069,714원",664,"6,895,880원","2,962","1,545,870원","146,471","50,000원","2,461,496","5,000원",8,13,19,27,40,45,12
,1056,2023.02.25,14,"1,969,662,456원",81,"56,739,248원","3,223","1,425,964원","150,996","50,000원","2,464,595","5,000원",13,20,24,32,36,45,29
,1055,2023.02.18,11,"2,362,815,205원",92,"47,085,086원","3,413","1,269,215원","165,590","50,000원","2,662,001","5,000원",4,7,12,14,22,33,31
,1054,2023.02.11,9,"3,147,925,709원",66,"71,543,767원","2,714","1,739,827원","140,308","50,000원","2,407,955","5,000원",14,19,27,28,30,45,33
,1053,2023.02.04,7,"4,090,367,411원",64,"74,563,990원","2,702","1,766,135원","136,905","50,000원","2,367,764","5,000원",22,26,29,30,34,45,15
,1052,2023.01.28,11,"2,341,682,762원",108,"39,750,788원","2,926","1,467,220원","148,178","50,000원","2,405,830","5,000원",5,17,26,27,35,38,1
,1051,2023.01.21,18,"1,669,558,480원",70,"71,552,507원","2,824","1,773,611원","143,314","50,000원","2,477,370","5,000원",21,26,30,32,33,35,44
,1050,2023.01.14,17,"1,535,083,280원",70,"62,134,324원","2,866","1,517,587원","144,610","50,000원","2,402,116","5,000원",6,12,31,35,38,43,17
,1049,2023.01.07,15,"1,727,810,100원",89,"48,533,992원","2,968","1,455,366원","147,061","50,000원","2,462,622","5,000원",3,5,13,20,21,37,17
2022,1048,2022.12.31,17,"1,612,494,508원",102,"44,791,515원","3,817","1,196,944원","170,086","50,000원","2,721,555","5,000원",6,12,17,21,32,39,30
,1047,2022.12.24,9,"2,748,797,875원",83,"49,677,071원","2,728","1,511,436원","139,530","50,000원","2,313,403","5,000원",2,20,33,40,42,44,32
,1046,2022.12.17,12,"2,011,415,719원",57,"70,575,991원","2,959","1,359,524원","139,560","50,000원","2,260,269","5,000원",7,16,25,29,35,36,28
,1045,2022.12.10,13,"1,990,060,443원",67,"64,355,189원","2,699","1,597,554원","135,872","50,000원","2,280,432","5,000원",6,14,15,19,21,41,37
,1044,2022.12.03,8,"3,136,941,235원",72,"58,091,505원","2,597","1,610,547원","134,226","50,000원","2,254,796","5,000원",12,17,20,26,28,36,4
,1043,2022.11.26,17,"1,468,646,956원",86,"48,385,656원","3,156","1,318,494원","155,087","50,000원","2,495,858","5,000원",3,5,12,22,26,31,19
,1042,2022.11.19,20,"1,240,663,669원",100,"41,355,456원","3,567","1,159,391원","157,156","50,000원","2,462,593","5,000원",5,14,15,23,34,43,4
,1041,2022.11.12,25,"935,091,165원",85,"45,837,803원","3,947","987,133원","167,535","50,000원","2,620,869","5,000원",6,7,9,11,17,18,45
,1040,2022.11.05,7,"3,660,482,625원",63,"67,786,716원","2,583","1,653,335원","133,245","50,000원","2,235,373","5,000원",8,16,26,29,31,36,11
,1039,2022.10.29,16,"1,585,019,672원",80,"52,833,990원","2,773","1,524,241원","140,403","50,000원","2,359,126","5,000원",2,3,6,19,36,39,26
,1038,2022.10.22,15,"1,627,457,225원",77,"52,839,521원","3,364","1,209,466원","154,690","50,000원","2,436,512","5,000원",7,16,24,27,37,44,2
,1037,2022.10.15,15,"1,708,576,825원",78,"54,762,078원","2,713","1,574,435원","137,021","50,000원","2,279,500","5,000원",2,14,15,22,27,33,31
